"","LTER_site","local_site","location","project_site","shore","date","taxa","count"
"20","NWT","GL1","LAKE","GL1_3E","EAST",2018-07-12,"Trichoptera_apataniidae_apatania",1
"21","NWT","GL1","LAKE","GL1_5W","WEST",2018-07-12,"Trichoptera_apataniidae_apatania",0
"22","NWT","GL1","LAKE","GL1_7W","WEST",2018-07-12,"Trichoptera_apataniidae_apatania",2
"23","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-17,"Trichoptera_apataniidae_apatania",2
"24","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-17,"Trichoptera_apataniidae_apatania",2
"25","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-17,"Trichoptera_apataniidae_apatania",0
"26","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-17,"Trichoptera_apataniidae_apatania",1
"27","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-17,"Trichoptera_apataniidae_apatania",1
"28","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-17,"Trichoptera_apataniidae_apatania",1
"29","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-19,"Trichoptera_apataniidae_apatania",0
"30","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-19,"Trichoptera_apataniidae_apatania",0
"31","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-19,"Trichoptera_apataniidae_apatania",0
"32","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-19,"Trichoptera_apataniidae_apatania",0
"33","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-19,"Trichoptera_apataniidae_apatania",0
"34","NWT","GL5","LAKE","GL5_1W","WEST",2018-07-31,"Trichoptera_apataniidae_apatania",0
"35","NWT","GL5","LAKE","GL5_2E","EAST",2018-07-31,"Trichoptera_apataniidae_apatania",1
"36","NWT","GL5","INLET","GL5_3IN","NaN",2018-07-31,"Trichoptera_apataniidae_apatania",1
"37","NWT","GL5","OUTLET","GL5_4OUT","NaN",2018-07-31,"Trichoptera_apataniidae_apatania",1
"38","NWT","ALB","LAKE","ALB_1W","WEST",2018-08-02,"Trichoptera_apataniidae_apatania",0
"39","NWT","ALB","LAKE","ALB_2W","WEST",2018-08-02,"Trichoptera_apataniidae_apatania",0
"40","NWT","ALB","LAKE","ALB_3E","EAST",2018-08-02,"Trichoptera_apataniidae_apatania",0
"41","NWT","ALB","LAKE","ALB_4E","EAST",2018-08-02,"Trichoptera_apataniidae_apatania",0
"42","NWT","ALB","INLET","ALB_5IN","NaN",2018-08-02,"Trichoptera_apataniidae_apatania",0
"43","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-07,"Trichoptera_apataniidae_apatania",7
"44","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-07,"Trichoptera_apataniidae_apatania",15
"45","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-07,"Trichoptera_apataniidae_apatania",7
"46","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-07,"Trichoptera_apataniidae_apatania",11
"47","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-07,"Trichoptera_apataniidae_apatania",124
"48","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-07,"Trichoptera_apataniidae_apatania",2
"49","NWT","GL1","LAKE","GL1_2E","EAST",2018-08-09,"Trichoptera_apataniidae_apatania",0
"50","NWT","GL1","LAKE","GL1_3E","EAST",2018-08-09,"Trichoptera_apataniidae_apatania",4
"51","NWT","GL1","LAKE","GL1_5W","WEST",2018-08-09,"Trichoptera_apataniidae_apatania",15
"52","NWT","GL1","LAKE","GL1_7W","WEST",2018-08-09,"Trichoptera_apataniidae_apatania",7
"53","NWT","GL4","WATERFALL","GL4_waterfall_high","NaN",2018-08-07,"Trichoptera_apataniidae_apatania",0
"54","NWT","GL4","WATERFALL","GL4_waterfall_low","NaN",2018-08-07,"Trichoptera_apataniidae_apatania",0
"55","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_apataniidae_apatania",0
"56","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_apataniidae_apatania",0
"57","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-21,"Trichoptera_apataniidae_apatania",68
"58","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-21,"Trichoptera_apataniidae_apatania",5
"59","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-21,"Trichoptera_apataniidae_apatania",22
"60","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-21,"Trichoptera_apataniidae_apatania",0
"61","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-23,"Trichoptera_apataniidae_apatania",62
"62","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-23,"Trichoptera_apataniidae_apatania",5
"63","NWT","GL4","WATERFALL","GL4_waterfall_high","NaN",2018-08-23,"Trichoptera_apataniidae_apatania",0
"64","NWT","GL4","WATERFALL","GL4_waterfall_low","NaN",2018-08-23,"Trichoptera_apataniidae_apatania",0
"65","NWT","GL1","LAKE","GL1_1E","EAST",2018-06-28,"Trichoptera_rhyacophilidae_rhyacophila",0
"66","NWT","GL1","LAKE","GL1_2E","EAST",2018-06-28,"Trichoptera_rhyacophilidae_rhyacophila",0
"67","NWT","GL1","LAKE","GL1_3E","EAST",2018-06-28,"Trichoptera_rhyacophilidae_rhyacophila",0
"68","NWT","GL1","LAKE","GL1_4E","EAST",2018-06-28,"Trichoptera_rhyacophilidae_rhyacophila",0
"69","NWT","GL1","LAKE","GL1_5W","WEST",2018-06-28,"Trichoptera_rhyacophilidae_rhyacophila",0
"70","NWT","GL1","LAKE","GL1_6W","WEST",2018-06-28,"Trichoptera_rhyacophilidae_rhyacophila",0
"71","NWT","GL1","LAKE","GL1_7W","WEST",2018-06-28,"Trichoptera_rhyacophilidae_rhyacophila",0
"72","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-03,"Trichoptera_rhyacophilidae_rhyacophila",0
"73","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-03,"Trichoptera_rhyacophilidae_rhyacophila",0
"74","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-03,"Trichoptera_rhyacophilidae_rhyacophila",0
"75","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-03,"Trichoptera_rhyacophilidae_rhyacophila",0
"76","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-03,"Trichoptera_rhyacophilidae_rhyacophila",0
"77","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-03,"Trichoptera_rhyacophilidae_rhyacophila",0
"78","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-05,"Trichoptera_rhyacophilidae_rhyacophila",0
"79","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-05,"Trichoptera_rhyacophilidae_rhyacophila",0
"80","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-05,"Trichoptera_rhyacophilidae_rhyacophila",0
"81","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-05,"Trichoptera_rhyacophilidae_rhyacophila",0
"82","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-05,"Trichoptera_rhyacophilidae_rhyacophila",0
"83","NWT","GL1","LAKE","GL1_2E","EAST",2018-07-12,"Trichoptera_rhyacophilidae_rhyacophila",0
"84","NWT","GL1","LAKE","GL1_3E","EAST",2018-07-12,"Trichoptera_rhyacophilidae_rhyacophila",0
"85","NWT","GL1","LAKE","GL1_5W","WEST",2018-07-12,"Trichoptera_rhyacophilidae_rhyacophila",0
"86","NWT","GL1","LAKE","GL1_7W","WEST",2018-07-12,"Trichoptera_rhyacophilidae_rhyacophila",0
"87","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-17,"Trichoptera_rhyacophilidae_rhyacophila",0
"88","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-17,"Trichoptera_rhyacophilidae_rhyacophila",0
"89","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-17,"Trichoptera_rhyacophilidae_rhyacophila",0
"90","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-17,"Trichoptera_rhyacophilidae_rhyacophila",0
"91","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-17,"Trichoptera_rhyacophilidae_rhyacophila",0
"92","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-17,"Trichoptera_rhyacophilidae_rhyacophila",0
"93","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-19,"Trichoptera_rhyacophilidae_rhyacophila",0
"94","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-19,"Trichoptera_rhyacophilidae_rhyacophila",0
"95","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-19,"Trichoptera_rhyacophilidae_rhyacophila",0
"96","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-19,"Trichoptera_rhyacophilidae_rhyacophila",0
"97","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-19,"Trichoptera_rhyacophilidae_rhyacophila",0
"98","NWT","GL5","LAKE","GL5_1W","WEST",2018-07-31,"Trichoptera_rhyacophilidae_rhyacophila",0
"99","NWT","GL5","LAKE","GL5_2E","EAST",2018-07-31,"Trichoptera_rhyacophilidae_rhyacophila",0
"100","NWT","GL5","INLET","GL5_3IN","NaN",2018-07-31,"Trichoptera_rhyacophilidae_rhyacophila",0
"101","NWT","GL5","OUTLET","GL5_4OUT","NaN",2018-07-31,"Trichoptera_rhyacophilidae_rhyacophila",0
"102","NWT","ALB","LAKE","ALB_1W","WEST",2018-08-02,"Trichoptera_rhyacophilidae_rhyacophila",0
"103","NWT","ALB","LAKE","ALB_2W","WEST",2018-08-02,"Trichoptera_rhyacophilidae_rhyacophila",0
"104","NWT","ALB","LAKE","ALB_3E","EAST",2018-08-02,"Trichoptera_rhyacophilidae_rhyacophila",0
"105","NWT","ALB","LAKE","ALB_4E","EAST",2018-08-02,"Trichoptera_rhyacophilidae_rhyacophila",0
"106","NWT","ALB","INLET","ALB_5IN","NaN",2018-08-02,"Trichoptera_rhyacophilidae_rhyacophila",0
"107","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",0
"108","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",0
"109","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",0
"110","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",0
"111","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",0
"112","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",0
"113","NWT","GL1","LAKE","GL1_2E","EAST",2018-08-09,"Trichoptera_rhyacophilidae_rhyacophila",0
"114","NWT","GL1","LAKE","GL1_3E","EAST",2018-08-09,"Trichoptera_rhyacophilidae_rhyacophila",0
"115","NWT","GL1","LAKE","GL1_5W","WEST",2018-08-09,"Trichoptera_rhyacophilidae_rhyacophila",0
"116","NWT","GL1","LAKE","GL1_7W","WEST",2018-08-09,"Trichoptera_rhyacophilidae_rhyacophila",0
"117","NWT","GL4","WATERFALL","GL4_waterfall_high","NaN",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",0
"118","NWT","GL4","WATERFALL","GL4_waterfall_low","NaN",2018-08-07,"Trichoptera_rhyacophilidae_rhyacophila",1
"119","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_rhyacophilidae_rhyacophila",7
"120","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_rhyacophilidae_rhyacophila",8
"121","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-21,"Trichoptera_rhyacophilidae_rhyacophila",0
"122","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-21,"Trichoptera_rhyacophilidae_rhyacophila",0
"123","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-21,"Trichoptera_rhyacophilidae_rhyacophila",0
"124","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-21,"Trichoptera_rhyacophilidae_rhyacophila",0
"125","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-23,"Trichoptera_rhyacophilidae_rhyacophila",0
"126","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-23,"Trichoptera_rhyacophilidae_rhyacophila",0
"127","NWT","GL4","WATERFALL","GL4_waterfall_high","NaN",2018-08-23,"Trichoptera_rhyacophilidae_rhyacophila",0
"128","NWT","GL4","WATERFALL","GL4_waterfall_low","NaN",2018-08-23,"Trichoptera_rhyacophilidae_rhyacophila",0
"129","NWT","GL1","LAKE","GL1_1E","EAST",2018-06-28,"Trichoptera_glossomatidae",0
"130","NWT","GL1","LAKE","GL1_2E","EAST",2018-06-28,"Trichoptera_glossomatidae",0
"131","NWT","GL1","LAKE","GL1_3E","EAST",2018-06-28,"Trichoptera_glossomatidae",0
"132","NWT","GL1","LAKE","GL1_4E","EAST",2018-06-28,"Trichoptera_glossomatidae",0
"133","NWT","GL1","LAKE","GL1_5W","WEST",2018-06-28,"Trichoptera_glossomatidae",0
"134","NWT","GL1","LAKE","GL1_6W","WEST",2018-06-28,"Trichoptera_glossomatidae",0
"135","NWT","GL1","LAKE","GL1_7W","WEST",2018-06-28,"Trichoptera_glossomatidae",0
"136","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-03,"Trichoptera_glossomatidae",0
"137","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-03,"Trichoptera_glossomatidae",0
"138","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-03,"Trichoptera_glossomatidae",0
"139","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-03,"Trichoptera_glossomatidae",0
"140","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-03,"Trichoptera_glossomatidae",0
"141","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-03,"Trichoptera_glossomatidae",0
"142","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-05,"Trichoptera_glossomatidae",0
"143","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-05,"Trichoptera_glossomatidae",0
"144","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-05,"Trichoptera_glossomatidae",0
"145","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-05,"Trichoptera_glossomatidae",0
"146","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-05,"Trichoptera_glossomatidae",0
"147","NWT","GL1","LAKE","GL1_2E","EAST",2018-07-12,"Trichoptera_glossomatidae",0
"148","NWT","GL1","LAKE","GL1_3E","EAST",2018-07-12,"Trichoptera_glossomatidae",0
"149","NWT","GL1","LAKE","GL1_5W","WEST",2018-07-12,"Trichoptera_glossomatidae",0
"150","NWT","GL1","LAKE","GL1_7W","WEST",2018-07-12,"Trichoptera_glossomatidae",0
"151","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-17,"Trichoptera_glossomatidae",0
"152","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-17,"Trichoptera_glossomatidae",0
"153","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-17,"Trichoptera_glossomatidae",0
"154","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-17,"Trichoptera_glossomatidae",0
"155","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-17,"Trichoptera_glossomatidae",0
"156","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-17,"Trichoptera_glossomatidae",0
"157","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-19,"Trichoptera_glossomatidae",0
"158","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-19,"Trichoptera_glossomatidae",0
"159","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-19,"Trichoptera_glossomatidae",0
"160","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-19,"Trichoptera_glossomatidae",0
"161","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-19,"Trichoptera_glossomatidae",0
"162","NWT","GL5","LAKE","GL5_1W","WEST",2018-07-31,"Trichoptera_glossomatidae",0
"163","NWT","GL5","LAKE","GL5_2E","EAST",2018-07-31,"Trichoptera_glossomatidae",0
"164","NWT","GL5","INLET","GL5_3IN","NaN",2018-07-31,"Trichoptera_glossomatidae",0
"165","NWT","GL5","OUTLET","GL5_4OUT","NaN",2018-07-31,"Trichoptera_glossomatidae",0
"166","NWT","ALB","LAKE","ALB_1W","WEST",2018-08-02,"Trichoptera_glossomatidae",0
"167","NWT","ALB","LAKE","ALB_2W","WEST",2018-08-02,"Trichoptera_glossomatidae",0
"168","NWT","ALB","LAKE","ALB_3E","EAST",2018-08-02,"Trichoptera_glossomatidae",0
"169","NWT","ALB","LAKE","ALB_4E","EAST",2018-08-02,"Trichoptera_glossomatidae",0
"170","NWT","ALB","INLET","ALB_5IN","NaN",2018-08-02,"Trichoptera_glossomatidae",0
"171","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-07,"Trichoptera_glossomatidae",0
"172","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-07,"Trichoptera_glossomatidae",0
"173","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-07,"Trichoptera_glossomatidae",0
"174","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-07,"Trichoptera_glossomatidae",0
"175","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-07,"Trichoptera_glossomatidae",0
"176","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-07,"Trichoptera_glossomatidae",0
"177","NWT","GL1","LAKE","GL1_2E","EAST",2018-08-09,"Trichoptera_glossomatidae",0
"178","NWT","GL1","LAKE","GL1_3E","EAST",2018-08-09,"Trichoptera_glossomatidae",0
"179","NWT","GL1","LAKE","GL1_5W","WEST",2018-08-09,"Trichoptera_glossomatidae",0
"180","NWT","GL1","LAKE","GL1_7W","WEST",2018-08-09,"Trichoptera_glossomatidae",0
"181","NWT","GL4","WATERFALL","GL4_waterfall_high","NaN",2018-08-07,"Trichoptera_glossomatidae",3
"182","NWT","GL4","WATERFALL","GL4_waterfall_low","NaN",2018-08-07,"Trichoptera_glossomatidae",0
"183","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_glossomatidae",0
"184","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_glossomatidae",0
"185","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-21,"Trichoptera_glossomatidae",0
"186","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-21,"Trichoptera_glossomatidae",0
"187","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-21,"Trichoptera_glossomatidae",0
"188","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-21,"Trichoptera_glossomatidae",0
"189","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-23,"Trichoptera_glossomatidae",0
"190","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-23,"Trichoptera_glossomatidae",0
"191","NWT","GL4","WATERFALL","GL4_waterfall_high","NaN",2018-08-23,"Trichoptera_glossomatidae",0
"192","NWT","GL4","WATERFALL","GL4_waterfall_low","NaN",2018-08-23,"Trichoptera_glossomatidae",0
"193","NWT","GL1","LAKE","GL1_1E","EAST",2018-06-28,"Trichoptera_leptoceridae",0
"194","NWT","GL1","LAKE","GL1_2E","EAST",2018-06-28,"Trichoptera_leptoceridae",13
"195","NWT","GL1","LAKE","GL1_3E","EAST",2018-06-28,"Trichoptera_leptoceridae",0
"196","NWT","GL1","LAKE","GL1_4E","EAST",2018-06-28,"Trichoptera_leptoceridae",0
"197","NWT","GL1","LAKE","GL1_5W","WEST",2018-06-28,"Trichoptera_leptoceridae",0
"198","NWT","GL1","LAKE","GL1_6W","WEST",2018-06-28,"Trichoptera_leptoceridae",0
"199","NWT","GL1","LAKE","GL1_7W","WEST",2018-06-28,"Trichoptera_leptoceridae",1
"200","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-03,"Trichoptera_leptoceridae",0
"201","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-03,"Trichoptera_leptoceridae",0
"202","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-03,"Trichoptera_leptoceridae",0
"203","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-03,"Trichoptera_leptoceridae",1
"204","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-03,"Trichoptera_leptoceridae",0
"205","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-03,"Trichoptera_leptoceridae",0
"206","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-05,"Trichoptera_leptoceridae",0
"207","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-05,"Trichoptera_leptoceridae",0
"208","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-05,"Trichoptera_leptoceridae",0
"209","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-05,"Trichoptera_leptoceridae",0
"210","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-05,"Trichoptera_leptoceridae",3
"211","NWT","GL1","LAKE","GL1_2E","EAST",2018-07-12,"Trichoptera_leptoceridae",1
"212","NWT","GL1","LAKE","GL1_3E","EAST",2018-07-12,"Trichoptera_leptoceridae",0
"213","NWT","GL1","LAKE","GL1_5W","WEST",2018-07-12,"Trichoptera_leptoceridae",0
"214","NWT","GL1","LAKE","GL1_7W","WEST",2018-07-12,"Trichoptera_leptoceridae",1
"215","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-17,"Trichoptera_leptoceridae",0
"216","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-17,"Trichoptera_leptoceridae",0
"217","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-17,"Trichoptera_leptoceridae",0
"218","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-17,"Trichoptera_leptoceridae",0
"219","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-17,"Trichoptera_leptoceridae",0
"220","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-17,"Trichoptera_leptoceridae",0
"221","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-19,"Trichoptera_leptoceridae",0
"222","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-19,"Trichoptera_leptoceridae",0
"223","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-19,"Trichoptera_leptoceridae",0
"224","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-19,"Trichoptera_leptoceridae",0
"225","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-19,"Trichoptera_leptoceridae",0
"226","NWT","GL5","LAKE","GL5_1W","WEST",2018-07-31,"Trichoptera_leptoceridae",0
"227","NWT","GL5","LAKE","GL5_2E","EAST",2018-07-31,"Trichoptera_leptoceridae",0
"228","NWT","GL5","INLET","GL5_3IN","NaN",2018-07-31,"Trichoptera_leptoceridae",0
"229","NWT","GL5","OUTLET","GL5_4OUT","NaN",2018-07-31,"Trichoptera_leptoceridae",0
"230","NWT","ALB","LAKE","ALB_1W","WEST",2018-08-02,"Trichoptera_leptoceridae",0
"231","NWT","ALB","LAKE","ALB_2W","WEST",2018-08-02,"Trichoptera_leptoceridae",0
"232","NWT","ALB","LAKE","ALB_3E","EAST",2018-08-02,"Trichoptera_leptoceridae",0
"233","NWT","ALB","LAKE","ALB_4E","EAST",2018-08-02,"Trichoptera_leptoceridae",0
"234","NWT","ALB","INLET","ALB_5IN","NaN",2018-08-02,"Trichoptera_leptoceridae",0
"235","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-07,"Trichoptera_leptoceridae",0
"236","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-07,"Trichoptera_leptoceridae",0
"237","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-07,"Trichoptera_leptoceridae",0
"238","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-07,"Trichoptera_leptoceridae",0
"239","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-07,"Trichoptera_leptoceridae",0
"240","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-07,"Trichoptera_leptoceridae",0
"241","NWT","GL1","LAKE","GL1_2E","EAST",2018-08-09,"Trichoptera_leptoceridae",0
"242","NWT","GL1","LAKE","GL1_3E","EAST",2018-08-09,"Trichoptera_leptoceridae",0
"243","NWT","GL1","LAKE","GL1_5W","WEST",2018-08-09,"Trichoptera_leptoceridae",0
"244","NWT","GL1","LAKE","GL1_7W","WEST",2018-08-09,"Trichoptera_leptoceridae",0
"245","NWT","GL4","WATERFALL","GL4_waterfall_high","NaN",2018-08-07,"Trichoptera_leptoceridae",0
"246","NWT","GL4","WATERFALL","GL4_waterfall_low","NaN",2018-08-07,"Trichoptera_leptoceridae",0
"247","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_leptoceridae",0
"248","NWT","ALB_creek","CREEK","ALB_creek_aboveroad","NaN",2018-08-09,"Trichoptera_leptoceridae",0
"249","NWT","GL4","LAKE","GL4_1E","EAST",2018-08-21,"Trichoptera_leptoceridae",0
"250","NWT","GL4","INLET","GL4_3IN","NaN",2018-08-21,"Trichoptera_leptoceridae",0
"251","NWT","GL4","LAKE","GL4_5W","WEST",2018-08-21,"Trichoptera_leptoceridae",0
"252","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-08-21,"Trichoptera_leptoceridae",0
"253","NWT","GL4","LAKE","GL4_2E","EAST",2018-08-23,"Trichoptera_leptoceridae",0
"254","NWT","GL4","LAKE","GL4_4W","WEST",2018-08-23,"Trichoptera_leptoceridae",0
