LTER_site,local_site,location,project_site,date,rock_total,rock1v,rock2v,rock3v,rock4v,rock5v,microscope,magnification,individual_number,order,family,genus ,size,notes 
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,7,trichop,leptoceridae,NaN,15.625,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,8,trichop,leptoceridae,NaN,18.75,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,9,trichop,leptoceridae,NaN,15.625,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,10,trichop,leptoceridae,NaN,15.625,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,11,trichop,leptoceridae,NaN,12.5,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,12,trichop,leptoceridae,NaN,12.5,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,13,trichop,leptoceridae,NaN,15.62,
NWT,GL1,LAKE,Gl1_3E,2018-06-28,3,1.2,2.4,1,0,0,SZ51,0.8,1,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_3E,2018-06-28,3,1.2,2.4,1,0,0,SZ51,0.8,2,diptera,chironomidae,NaN,6.25,
NWT,GL1,LAKE,Gl1_3E,2018-06-28,3,1.2,2.4,1,0,0,SZ51,0.8,1,trichop,apataniidae,apatania,10,
NWT,GL1,LAKE,Gl1_4E,2018-06-28,3,0.7,0.3,2,0,0,SZ51,0.8,1,trichop,apataniidae,apatania,9.375,
NWT,GL1,LAKE,Gl1_4E,2018-06-28,3,0.7,0.3,2,0,0,SZ51,0.8,2,trichop,apataniidae,apatania,12.5,pupating 
NWT,GL1,LAKE,Gl1_4E,2018-06-28,3,0.7,0.3,2,0,0,SZ51,0.8,3,trichop,apataniidae,apatania,12.5,
NWT,GL1,LAKE,Gl1_4E,2018-06-28,3,0.7,0.3,2,0,0,SZ51,0.8,4,trichop,apataniidae,apatania,12.5,
NWT,GL1,LAKE,Gl1_4E,2018-06-28,3,0.7,0.3,2,0,0,SZ51,0.8,5,trichop,apataniidae,apatania,12.5,
NWT,GL1,LAKE,Gl1_4E,2018-06-28,3,0.7,0.3,2,0,0,SZ51,0.8,6,trichop,apataniidae,apatania,15.625,
NWT,GL1,LAKE,Gl1_4E,2018-06-28,3,0.7,0.3,2,0,0,SZ51,0.8,7,trichop,apataniidae,apatania,6.25,
NWT,GL1,LAKE,Gl1_5W,2018-06-28,3,1.1,2.1,0.7,0,0,SZ51,0.8,1,amphipoda,gammaridae,NaN,10,
NWT,GL1,LAKE,Gl1_5W,2018-06-28,3,1.1,2.1,0.7,0,0,SZ51,0.8,1,trichop,apataniidae,apatania,10,
NWT,GL1,LAKE,Gl1_5W,2018-06-28,3,1.1,2.1,0.7,0,0,SZ51,0.8,2,trichop,apataniidae,apatania,12.5,
NWT,GL1,LAKE,Gl1_5W,2018-06-28,3,1.1,2.1,0.7,0,0,SZ51,0.8,1,diptera,chironomidae,NaN,6.25,
NWT,GL1,LAKE,Gl1_6W,2018-06-28,3,3,3.1,0.7,0,0,SZ51,0.8,1,trichop,leptoceridae,NaN,12.5,
NWT,GL1,LAKE,Gl1_6W,2018-06-28,3,3,3.1,0.7,0,0,SZ51,0.8,2,trichop,leptoceridae,NaN,12.5,
NWT,GL1,LAKE,Gl1_6W,2018-06-28,3,3,3.1,0.7,0,0,SZ51,0.8,3,trichop,apataniidae,apatania,14,
NWT,GL1,LAKE,Gl1_6W,2018-06-28,3,3,3.1,0.7,0,0,SZ51,0.8,4,trichop,apataniidae,apatania,12.5,
NWT,GL1,LAKE,Gl1_6W,2018-06-28,3,3,3.1,0.7,0,0,SZ51,0.8,1,diptera,chironomidae,NaN,6.25,
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,1,trichop,apataniidae,apatania,12.5,
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,1,trichop,leptoceridae,NaN,12.5,
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,1,diptera,chironomidae,NaN,3.125,pupating 
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,2,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,3,diptera,chironomidae,NaN,6.25,pupating 
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,4,diptera,chironomidae,NaN,6.25,
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,5,diptera,chironomidae,NaN,6.25,pupating 
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,6,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_7W,2018-06-28,3,2.1,0.4,3.8,0,0,SZ51,0.8,7,diptera,chironomidae,NaN,3.125,
NWT,GL4,LAKE,Gl4_1E,2018-07-03,5,2,3,1,4,2.5,SZ51,0.8,1,ephemerop,ameletidae,ameletus,15.625,pupating 
NWT,GL4,LAKE,Gl4_1E,2018-07-03,5,2,3,1,4,2.5,SZ51,0.8,1,trichop,apataniidae,apatania,9.375,
NWT,GL4,LAKE,Gl4_1E,2018-07-03,5,2,3,1,4,2.5,SZ51,0.8,2,trichop,apataniidae,apatania,6.25,pupating 
NWT,GL4,LAKE,Gl4_1E,2018-07-03,5,2,3,1,4,2.5,SZ51,0.8,3,trichop,apataniidae,apatania,9.375,pupating 
NWT,GL4,LAKE,Gl4_1E,2018-07-03,5,2,3,1,4,2.5,SZ51,0.8,4,trichop,apataniidae,apatania,11,
NWT,GL4,LAKE,Gl4_2E,2018-07-03,5,2,2,3.5,3.7,3,SZ51,0.8,1,ephemerop,ameletidae,ameletus,3.125,
NWT,GL4,LAKE,Gl4_2E,2018-07-03,5,2,2,3.5,3.7,3,SZ51,0.8,2,ephemerop,ameletidae,ameletus,11,
NWT,GL4,INLET,Gl4_3IN,2018-07-03,5,2,1.7,2,1.5,0.5,SZ51,0.8,1,ephemerop,ameletidae,ameletus,13,
NWT,GL4,INLET,Gl4_3IN,2018-07-03,5,2,1.7,2,1.5,0.5,SZ51,0.8,2,ephemerop,ameletidae,ameletus,2,
NWT,GL4,INLET,Gl4_3IN,2018-07-03,5,2,1.7,2,1.5,0.5,SZ51,0.8,1,trichop,apataniidae,apatania,15.625,
NWT,GL4,INLET,Gl4_3IN,2018-07-03,5,2,1.7,2,1.5,0.5,SZ51,0.8,1,diptera,chironomidae,NaN,3.125,
NWT,GL4,INLET,Gl4_3IN,2018-07-03,5,2,1.7,2,1.5,0.5,SZ51,0.8,2,diptera,chironomidae,NaN,3.125,
NWT,GL4,INLET,Gl4_3IN,2018-07-03,5,2,1.7,2,1.5,0.5,SZ51,0.8,3,diptera,chironomidae,NaN,6.25,
NWT,GL4,LAKE,Gl4_4W,2018-07-03,5,0.6,1,0.5,2,3,SZ51,0.8,1,trichop,apataniidae,apatania,12.5,
NWT,GL4,LAKE,Gl4_4W,2018-07-03,5,0.6,1,0.5,2,3,SZ51,0.8,2,trichop,apataniidae,apatania,9.375,
NWT,GL4,LAKE,Gl4_4W,2018-07-03,5,0.6,1,0.5,2,3,SZ51,0.8,3,trichop,apataniidae,apatania,9.375,
NWT,GL4,LAKE,Gl4_4W,2018-07-03,5,0.6,1,0.5,2,3,SZ51,0.8,1,trichop,leptoceridae,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,1,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,2,ephemerop,baetidae ,NaN,3.123,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,3,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,4,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,5,ephemerop,baetidae ,NaN,12.5,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,6,ephemerop,baetidae ,NaN,12.5,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,7,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,8,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,9,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,10,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,11,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,12,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,13,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,14,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,15,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,16,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,17,ephemerop,baetidae ,NaN,10,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,18,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,19,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,20,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,21,ephemerop,baetidae ,NaN,10,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,22,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,23,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,24,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,25,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,26,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,27,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,28,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,29,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,30,ephemerop,baetidae ,NaN,8,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,31,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,32,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,33,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,34,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,35,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,36,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,37,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,38,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,39,ephemerop,baetidae ,NaN,6.35,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,40,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,41,ephemerop,baetidae ,NaN,10,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,42,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,43,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,44,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,45,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,46,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,47,ephemerop,baetidae ,NaN,9.375,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,48,ephemerop,baetidae ,NaN,6.25,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,49,ephemerop,baetidae ,NaN,3.125,
NWT,GL4,OUTLET,Gl4_6OUT,2018-07-03,5,0.5,0.5,2,2.2,2,SZ51,0.8,50,ephemerop,baetidae ,NaN,3.125,
NWT,ALB,LAKE,ALB_1W,2018-07-05,5,2,2,2,2,1.9,SZ51,0.8,1,diptera,chironomidae,NaN,3,
NWT,ALB,LAKE,ALB_2W,2018-07-05,5,0.6,2,0.5,2,1.5,SZ51,0.8,1,NONE,NaN,NaN,,
NWT,ALB,LAKE,ALB_3E,2018-07-05,5,2,3,1.8,2.1,2.2,SZ51,0.8,1,NONE,NaN,NaN,,
NWT,ALB,LAKE,ALB_4E,2018-07-05,5,1.5,2.1,3.1,3.1,0.8,SZ51,0.8,1,NONE,NaN,NaN,,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,1,ephemerop,baetidae ,NaN,10,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,2,ephemerop,baetidae ,NaN,6.25,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,3,ephemerop,baetidae ,NaN,12.5,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,4,ephemerop,baetidae ,NaN,6.25,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,5,ephemerop,baetidae ,NaN,9.375,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,6,ephemerop,baetidae ,NaN,12.5,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,7,ephemerop,baetidae ,NaN,9.375,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,8,ephemerop,baetidae ,NaN,3.125,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,9,ephemerop,baetidae ,NaN,3.125,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,10,ephemerop,baetidae ,NaN,3.125,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,11,ephemerop,baetidae ,NaN,6.25,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,1,diptera,chironomidae,NaN,3.125,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,2,diptera,chironomidae,NaN,3.125,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,3,diptera,chironomidae,NaN,3.125,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,4,diptera,chironomidae,NaN,3.125,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,1,trichop,leptoceridae,NaN,12.5,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,2,trichop,leptoceridae,NaN,10,
NWT,ALB,INLET,ALB_5IN,2018-07-05,5,1,0.5,1.1,0.3,0.6,SZ51,0.8,3,trichop,leptoceridae,NaN,10,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,1,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,2,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,3,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,4,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,5,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,6,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,7,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,8,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,9,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,10,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,11,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,12,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,13,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,14,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,15,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,16,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,17,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,18,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,19,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,20,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,21,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,22,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,23,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,24,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,25,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,26,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,27,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,28,diptera,chironomidae,NaN,2,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,29,diptera,chironomidae,NaN,1,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,30,diptera,chironomidae,NaN,1,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,31,diptera,chironomidae,NaN,1,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,32,diptera,chironomidae,NaN,1,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,33,diptera,chironomidae,NaN,1,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,34,diptera,chironomidae,NaN,1,
NWT,GL1,LAKE,Gl1_2E,2018-07-12,5,1,2.1,1.7,0.8,0.9,SZ51,0.8,35,diptera,chironomidae,NaN,1,
