LTER_site,local_site,location,project_site,shore,collection_date ,Trichoptera_apataniidae_apatania,Trichoptera_rhyacophilidae_rhyacophila,Trichoptera_glossomatidae,Trichoptera_leptoceridae,Diptera_chironomidae,Diptera_simuliidae,Amphipoda_gammaridae,Ephemeroptera_baetidae_,Ephemeroptera_ameletidae_ameletus,Ephemeroptera_siphlonuridae,Coleoptera_dytiscidae,Plecoptera_perlidae_claassenia_,Plecoptera_perlodidae,Plecoptera_chloroperlidae,Rhynchobdellida_glossiphoniidae
NWT,ALB,LAKE,ALB_3E,EAST,7/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_4E,EAST,7/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWT,ALB,INLET,ALB_5IN,NaN,7/5/18,0,0,0,3,4,0,0,11,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_2E,EAST,7/12/18,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_3E,EAST,7/12/18,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_5W,WEST,7/12/18,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_7W,WEST,7/12/18,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_1E,EAST,7/17/18,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0
NWT,GL4,LAKE,GL4_2E,EAST,7/17/18,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0
NWT,GL4,INLET,GL4_3IN,NaN,7/17/18,0,0,0,0,3,52,0,4,0,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_4W,WEST,7/17/18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_5W,WEST,7/17/18,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
NWT,GL4,OUTLET,GL4_6OUT,NaN,7/17/18,1,0,0,0,0,0,0,29,0,0,0,0,1,0,0
NWT,ALB,LAKE,ALB_1W,WEST,7/19/18,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_2W,WEST,7/19/18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_3E,EAST,7/19/18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_4E,EAST,7/19/18,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
NWT,ALB,INLET,ALB_5IN,NaN,7/19/18,0,0,0,0,34,0,0,4,0,0,0,0,0,0,0
NWT,GL5,LAKE,GL5_1W,WEST,7/31/18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
NWT,GL5,LAKE,GL5_2E,EAST,7/31/18,1,0,0,0,95,0,0,0,0,0,0,0,1,0,0
NWT,GL5,INLET,GL5_3IN,NaN,7/31/18,1,0,0,0,242,0,0,0,0,0,0,0,1,0,23
NWT,GL5,OUTLET,GL5_4OUT,NaN,7/31/18,1,0,0,0,14,0,0,0,0,0,0,0,1,0,0
NWT,ALB,LAKE,ALB_1W,WEST,8/2/18,0,0,0,0,62,0,0,1,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_2W,WEST,8/2/18,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_3E,EAST,8/2/18,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_4E,EAST,8/2/18,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0
NWT,ALB,INLET,ALB_5IN,NaN,8/2/18,0,0,0,0,251,0,0,6,0,0,0,0,4,0,0
NWT,GL4,LAKE,GL4_1E,EAST,8/7/18,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1
NWT,GL4,LAKE,GL4_2E,EAST,8/7/18,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NWT,GL4,INLET,GL4_3IN,NaN,8/7/18,7,0,0,0,81,0,0,0,9,0,0,0,1,0,0
NWT,GL4,LAKE,GL4_4W,WEST,8/7/18,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_5W,WEST,8/7/18,124,0,0,0,0,0,0,1,5,0,0,0,0,0,0
NWT,GL4,OUTLET,GL4_6OUT,NaN,8/7/18,2,0,0,0,11,0,0,15,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_2E,EAST,8/9/18,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_3E,EAST,8/9/18,4,0,0,0,33,0,0,0,0,0,0,0,0,0,13
NWT,GL1,LAKE,GL1_5W,WEST,8/9/18,15,0,0,0,42,0,0,0,0,0,0,0,0,0,1
NWT,GL1,LAKE,GL1_7W,WEST,8/9/18,7,0,0,0,62,0,0,0,0,0,0,0,0,0,4
NWT,GL4,WATERFALL,GL4_waterfall_high,NaN,8/7/18,0,0,3,0,225,0,0,0,1,2,0,0,0,0,65
NWT,GL4,WATERFALL,GL4_waterfall_low,NaN,8/7/18,0,1,0,0,104,0,0,0,5,1,0,0,1,0,5
NWT,ALB_creek,CREEK,ALB_creek_aboveroad,NaN,8/9/18,0,7,0,0,273,0,0,0,11,0,0,11,0,10,1
NWT,ALB_creek,CREEK,ALB_creek_aboveroad,NaN,8/9/18,0,8,0,0,127,1,0,1,10,0,0,0,3,6,0
NWT,GL4,LAKE,GL4_1E,EAST,8/21/18,68,0,0,0,0,0,0,1,1,0,0,0,0,0,1
NWT,GL4,INLET,GL4_3IN,NaN,8/21/18,5,0,0,0,41,0,0,0,34,0,0,0,0,0,38
NWT,GL4,LAKE,GL4_5W,WEST,8/21/18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWT,GL4,OUTLET,GL4_6OUT,NaN,8/21/18,0,0,0,0,14,0,0,11,0,0,0,0,0,0,22
NWT,GL4,LAKE,GL4_2E,EAST,8/23/18,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_4W,WEST,8/23/18,5,0,0,0,3,0,0,1,0,0,0,0,0,0,1
NWT,GL4,WATERFALL,GL4_waterfall_high,NaN,8/23/18,0,0,0,0,123,0,0,0,2,3,0,0,0,0,63
NWT,GL4,WATERFALL,GL4_waterfall_low,NaN,8/23/18,0,0,0,0,235,0,0,5,4,0,0,0,0,0,10
